old_cpp_name,section,key,default,cpp_type,special_case,notes
property_setDisplay_customSectionColors,display,customSectionColors,'"-62208,-12299010,-16190712,-1505559,-3621034,-16712458,-7330570,-1546731,-24406,-3289866,-2756674,-538377,-134768,-4457734,-1848839,-530985"',QString,,
property_setFeatures,display,features,"",QString,,
property_setDisplay_isAutoOffAgIO,display,isAutoOffAgIO,true,bool,,
property_setDisplay_isAutoStartAgIO,display,isAutoStartAgIO,true,bool,,
property_setDisplay_isBrightnessOn,display,isBrightnessOn,false,bool,,
property_setDisplay_isDayMode,display,isDayMode,true,bool,,
property_setDisplay_isHardwareMessages,display,isHardwareMessages,false,bool,,
property_setDisplay_isKeyboardOn,display,isKeyboardOn,true,bool,,
property_setDisplay_isLineSmooth,display,isLineSmooth,false,bool,,
property_setDisplay_isLogElevation,display,isLogElevation,false,bool,,
property_setDisplay_isSectionLinesOn,display,isSectionLinesOn,true,bool,,
property_setDisplay_isShutdownWhenNoPower,display,isShutDownWhenNoPower,false,bool,,
property_setDisplay_isStartFullScreen,display,isStartFullscreen,false,bool,,
property_setDisplay_isSvennArrowOn,display,isSvennArrowOn,false,bool,,
property_setDisplay_isTermsAccepted,display,isTermsAccepted,false,bool,,
property_setDisplay_isTextureOn,display,isTextureOn,true,bool,,
property_setDisplay_isVehicleImage,display,isVehicleImage,true,bool,,
property_setDisplay_lightbarCmPerPixel,display,lightbarCmPerPixel,5,int,,
property_setDisplay_lineWidth,display,lineWidth,2,double,,
property_setDisplay_panelSimLocation,display,panelSimLocation,'QPoint(97, 600)',QPoint,,
property_displayShowBack,display,showBack,false,bool,,
property_setDisplay_topTrackNum,display,topTrackNum,false,bool,,
property_setDisplay_triangleResolution,display,triangleResolution,1,double,,Does not appear to be used
property_setDisplay_useTrackZero,display,useTrackZero,false,bool,,
property_setDisplay_vehicleOpacity,display,vehicleOpacity,100,double,,
property_setF_boundaryTriggerDistance,f,boundaryTriggerDistance,1,double,,
property_setF_CurrentDir,f,currentDir,"",QString,,
property_setF_isRemoteWorkSystemOn,f,isRemoteWorkSystemOn,false,bool,,
property_setF_isSteerWorkSwitchEnabled,f,isSteerWorkSwitchEnabled,false,bool,,
property_setF_isSteerWorkSwitchManualSections,f,isSteerWorkSwitchManualSections,false,bool,,
property_setF_isWorkSwitchActiveLow,f,isWorkSwitchActiveLow,true,bool,,
property_setF_isWorkSwitchEnabled,f,isWorkSwitchEnabled,false,bool,,
property_setF_isWorkSwitchManualSections,f,isWorkSwitchManualSections,false,bool,,
property_setF_minHeadingStepDistance,f,minHeadingStepDistance,0.5,double,,
property_setF_UserTotalArea,f,userTotalArea,0,double,,
property_setFeature_isABLineOn,feature,isABLineOn,true,bool,,
property_setFeature_isABSmoothOn,feature,isABSmoothOn,false,bool,,
property_setFeature_isAgIOOn,feature,isAgIOOn,true,bool,,
property_setFeature_isAutoSectionOn,feature,isAutoSectionOn,true,bool,,
property_setFeature_isAutoSteerOn,feature,isAutoSteerOn,true,bool,,
property_setFeature_isBndContourOn,feature,isBndContourOn,false,bool,,
property_setFeature_isBoundaryOn,feature,isBoundaryOn,true,bool,,
property_setFeature_isContourOn,feature,isContourOn,true,bool,,
property_setFeature_isCurveOn,feature,isCurveOn,true,bool,,
property_setFeature_isCycleLinesOn,feature,isCycleLinesOn,true,bool,,
property_setFeature_isHeadlandOn,feature,isHeadlandOn,true,bool,,
property_setFeature_isHideContourOn,feature,isHideContourOn,false,bool,,
property_setFeature_isLateralOn,feature,isLateralOn,true,bool,,
property_setFeature_isManualSectionOn,feature,isManualSectionOn,true,bool,,
property_setFeature_isOffsetFixOn,feature,isOffsetFixOn,false,bool,,
property_setFeature_isRecPathOn,feature,isRecPathOn,false,bool,,
property_setFeature_isSteerModeOn,feature,isSteerModeOn,true,bool,,
property_setFeature_isTramOn,feature,isTramOn,false,bool,,
property_setFeature_isUTurnOn,feature,isUTurnOn,true,bool,,
property_setFeature_isWebCamOn,feature,isWebCamOn,false,bool,,
property_setFeature_isYouTurnOn,feature,isYouTurnOn,true,bool,,
property_setGPS_ageAlarm,gps,ageAlarm,20,int,,
property_setGPS_dualHeadingOffset,gps,dualHeadingOffset,0,double,,
property_setGPS_dualReverseDetectionDistance,gps,dualReverseDetectionDistance,0.25,double,,
property_setGPS_fixFromWhichSentence,gps,fixFromWhichSentence,"GGA",QString,,
property_setGPS_forwardComp,gps,forwardComp,0.15,double,,
property_setGPS_headingFromWhichSource,gps,headingFromWhichSource,"Fix",QString,,
